CLAVE,DESCRIPCION,
RAMAP/C4,"RANURADORA MANUAL PARA CORTE DE TUBO DE 4""",
SOPT2A24,"SOPORTE AJUSTABLE PARA TUBO MODELO 224 51 X 610 MM. (2"" A 24"")",
CP4F905,"COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 905 DE 102 MM. (4"")",
CP6F905,"COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 905 DE 152 MM. (6"")",
CP4F995,"COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 102 MM. (4"")",
CP3F995,"COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 076 MM. (3"")",
CP6F995,"COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 152 MM. (6"")",
CP12F995,"COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 305 MM. (12"")",
CP2F995,"COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 051 MM. (2"")",
CP8F995,"COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 995 DE 203 MM. (8"")",
TSC480TM,"COD. ART. R03430001 TUBO DE ACERO AL CARBON SIN COSTURA 114.3 X 08.6 MM. (4"" CED. 80)",
TSC3/480TM,"TUBO DE ACERO AL CARBON SIN COSTURA DE 026.7 X 03.9 MM  (3/4"" CED.80)",
TSC2XXSTM,"COD. ART. R92180001 TUBO DE ACERO AL CARBON SIN COSTURA ASTM A 106 GR.B DE 2"" DIAM. ( CED. XXS)",
TSC240TM,"COD. ART.  R01660002 TUBO DE ACERO AL CARBON SIN COSTURA 060.3 X 03.9 MM. (2"" CED. 40) ASTM A53",
TSC11/240AI316TM,"TUBO A/INOX. S/COSTURA T-316 DE 048.3 X 03.7 MM. (1 1/2"" CED. 40)",
TCC860X-52,"TUBO DE ACERO AL CARBON CON COSTURA DE 219.1 X 10.3 MM (8"" CED. 60)",
TCC11/280TM,"COD. ART. R03690001 TUBO DE ACERO AL CARBON CON COSTURA CED. 80 ASTM-A-53 GR. A DE 1 1/2"" DE DIAMETRO",
TCC340TM,"COD. ART. TUBO DE ACERO AL CARBON CON COSTURA CED. 40 ASTM-A-53 GR. A DE 3"" DE DIAMETRO",
TCC810RA,"TUBO DE A/C C/C DE 219.1 X 04.7 MM. RAN. (8"" CED. 10) UL FM",
TCC11/410RA,"TUBO DE A/C C/C DE 042.2 X 02.8 MM. RAN. (1 1/4"" CED. 10) ALLIED",
TCC11/210RA,"TUBO DE A/C C/C DE 048.3 X 02.8 MM. RAN. (1 1/2"" CED. 10) ",
TCC4DF,"TUBO DE A/C C/C DE 114.3 MM. CED. 7 LISO (4"") SPS",
TCC11/4DF,"TUBO DE A/C C/C DE 042.2 MM. CED. 7 LISO (1 1/4"") SPS",
